file_name,entries_total,entries_kept_after_4checks_and_limits,file_size_gb,file_size_mb,dropped_invalid_entry,dropped_no_point,dropped_no_state_polygon,dropped_missing_bundesland,dropped_missing_gemeindeschluessel,dropped_triple_mismatch,dropped_no_landkreis_match,dropped_missing_power,dropped_limits
EinheitenStromSpeicher_16.json,97225,136,0.115695559,118.472,0,97089,0,0,0,0,0,0,0
EinheitenStromSpeicher_17.json,97186,202,0.116037707,118.823,0,96983,0,0,0,1,0,0,0
EinheitenStromSpeicher_18.json,96897,219,0.116099798,118.886,0,96678,0,0,0,0,0,0,0
EinheitenStromSpeicher_19.json,96078,139,0.114194293,116.935,0,95939,0,0,0,0,0,0,0
EinheitenStromSpeicher_2.json,96349,198,0.111629168,114.308,0,96149,0,0,0,2,0,0,0
EinheitenStromSpeicher_20.json,90419,149,0.107394443,109.972,0,90269,1,0,0,0,0,0,0
EinheitenStromSpeicher_3.json,97571,177,0.112902351,115.612,0,97393,0,0,0,1,0,0,0
EinheitenStromSpeicher_4.json,97140,160,0.112469696,115.169,0,96979,1,0,0,0,0,0,0
EinheitenStromSpeicher_5.json,97076,104,0.112449422,115.148,0,96971,0,0,0,1,0,0,0
EinheitenStromSpeicher_6.json,96382,142,0.110407825,113.058,0,96240,0,0,0,0,0,0,0
EinheitenStromSpeicher_7.json,96569,98,0.109339468,111.964,0,96471,0,0,0,0,0,0,0
EinheitenStromSpeicher_8.json,97059,77,0.109826343,112.462,0,96981,0,0,0,1,0,0,0
EinheitenStromSpeicher_9.json,96774,93,0.109494819,112.123,0,96681,0,0,0,0,0,0,0
EinheitenWasser.json,8556,4658,0.01019631,10.441,0,3865,9,0,0,23,1,0,0
EinheitenWind.json,29944,28896,0.049450913,50.638,0,971,32,0,0,38,7,0,0
