file_name,entries_total,entries_kept,entries_dropped,file_size_gb,file_size_mb,power_values_count,power_kw_min,power_kw_max,power_kw_avg,power_kw_sum,missing_state,missing_landkreis,missing_energy,missing_power,missing_date
EinheitenSolar_51.json,96859,96859,0,0.110526852,113.179,96859,0.001,19994.205,11.542064,1117952.744,0,0,0,0,0
EinheitenSolar_52.json,96407,96407,0,0.108914949,111.529,96407,0.001,28886.46,10.477282,1010083.284,0,0,0,0,0
EinheitenSolar_53.json,95470,95470,0,0.10898701,111.603,95470,0.001,63120.735,10.332721,986464.904,0,0,0,0,0
EinheitenSolar_54.json,63748,63748,0,0.073203829,74.961,63748,0.001,9682.2,8.971667,571925.851,0,0,0,0,0
EinheitenSolar_6.json,99099,99099,0,0.126619165,129.658,99099,0.01,24240.6,28.565714,2830833.678,0,0,0,0,0
EinheitenSolar_7.json,99124,99124,0,0.126655717,129.695,99124,0.005,25559.14,27.459768,2721922.072,0,0,0,0,0
EinheitenSolar_8.json,99122,99122,0,0.126558677,129.596,99122,0.001,24336.4,25.229601,2500808.49,0,0,0,0,0
EinheitenSolar_9.json,99145,99145,0,0.126288839,129.32,99145,0.1,70863.87,24.106062,2389995.513,0,0,0,0,0
EinheitenStromSpeicher_1.json,95599,95599,0,0.111015663,113.68,95599,0.001,305.2,4.795805,458474.151,0,0,0,0,0
EinheitenStromSpeicher_10.json,96562,96562,0,0.109271106,111.894,96562,0.001,4000.0,6.54323,631827.392,0,0,0,0,0
EinheitenStromSpeicher_11.json,96357,96357,0,0.109094434,111.713,96357,0.001,4000.0,6.722001,647711.889,0,0,0,0,0
EinheitenStromSpeicher_12.json,95910,95910,0,0.108673364,111.282,95910,0.001,3780.0,6.810872,653230.721,0,0,0,0,0
EinheitenStromSpeicher_13.json,96455,96455,0,0.112171,114.863,96455,0.001,6754.0,6.673051,643649.126,0,0,0,0,0
EinheitenStromSpeicher_14.json,97731,97731,0,0.115867271,118.648,97731,0.001,6160.0,6.655007,650400.473,0,0,0,0,0
EinheitenStromSpeicher_15.json,97465,97465,0,0.115850727,118.631,97465,0.001,5100.0,6.367217,620580.798,0,0,0,0,0
EinheitenStromSpeicher_16.json,97225,97225,0,0.115695559,118.472,97225,0.001,1120.0,6.337523,616165.66,0,0,0,0,0
EinheitenStromSpeicher_17.json,97186,97186,0,0.116037707,118.823,97186,0.001,736.0,6.652209,646501.614,0,0,0,0,0
EinheitenStromSpeicher_18.json,96897,96897,0,0.116099798,118.886,96897,0.001,7500.0,6.638273,643228.695,0,0,0,0,0
EinheitenStromSpeicher_19.json,96078,96078,0,0.114194293,116.935,96078,0.001,8640.0,6.011005,577525.377,0,0,0,0,0
EinheitenStromSpeicher_2.json,96349,96349,0,0.111629168,114.308,96349,0.001,22000.0,6.455417,621972.984,0,0,0,0,0
EinheitenStromSpeicher_20.json,90419,90419,0,0.107394443,109.972,90419,0.001,9200.0,6.813536,616073.135,0,0,0,0,0
EinheitenStromSpeicher_3.json,97571,97571,0,0.112902351,115.612,97571,0.01,7000.0,6.504913,634690.855,0,0,0,0,0
EinheitenStromSpeicher_4.json,97140,97140,0,0.112469696,115.169,97140,0.001,6900.0,6.553303,636587.859,0,0,0,0,0
EinheitenStromSpeicher_5.json,97076,97076,0,0.112449422,115.148,97076,0.01,950.0,5.75872,559033.542,0,0,0,0,1
EinheitenStromSpeicher_6.json,96382,96382,0,0.110407825,113.058,96382,0.025,13883.0,6.341835,611238.712,0,0,0,0,2
EinheitenStromSpeicher_7.json,96569,96569,0,0.109339468,111.964,96569,0.003,2322.0,6.304514,608820.66,0,0,0,0,0
EinheitenStromSpeicher_8.json,97059,97059,0,0.109826343,112.462,97059,0.216,294.0,6.346568,615991.551,0,0,0,0,0
EinheitenStromSpeicher_9.json,96774,96774,0,0.109494819,112.123,96774,0.001,10400.0,6.885144,666302.972,0,0,0,0,0
EinheitenWasser.json,8556,8556,0,0.01019631,10.441,8556,0.75,40000.0,534.725881,4575114.641,0,0,0,0,0
EinheitenWind.json,29944,29944,0,0.049450913,50.638,29944,0.1,8000.0,2176.711974,65179463.337,0,0,0,0,0
