group_key,count,total_power_kw,avg_power_kw,min_power_kw,max_power_kw,min_ref_file,min_ref_index,max_ref_file,max_ref_index
Münster,18376,303672.217,16.52548,0.001,4200.0,EinheitenSolar_42.json,50241,EinheitenWind.json,93
Bremen,15427,303571.881,19.677959,0.001,5000.13,EinheitenSolar_40.json,65427,EinheitenSolar_37.json,92996
Köln,26635,300591.11,11.285568,0.001,3295.58,EinheitenSolar_43.json,70388,EinheitenSolar_41.json,75819
Regen,13919,298163.708,21.421345,0.001,11709.06,EinheitenSolar_31.json,90383,EinheitenSolar_28.json,87190
Südwestpfalz,12517,297575.252,23.773688,0.001,9999.0,EinheitenSolar_44.json,75035,EinheitenSolar_4.json,35419
Mettmann,30160,296126.381,9.818514,0.001,3710.04,EinheitenSolar_42.json,67738,EinheitenSolar_25.json,9826
Forchheim,16855,295337.801,17.522266,0.015,19995.0,EinheitenStromSpeicher_15.json,68442,EinheitenSolar_30.json,67317
Saarlouis,18816,295141.289,15.685655,0.001,24001.03,EinheitenStromSpeicher_18.json,71684,EinheitenSolar_48.json,93162
Oberbergischer Kreis,25274,291797.042,11.545345,0.001,8964.8,EinheitenSolar_41.json,90922,EinheitenSolar_54.json,60581
Kusel,9166,291207.569,31.770409,0.001,8637.0,EinheitenSolar_40.json,72777,EinheitenSolar_29.json,2256
Regionalverband Saarbrücken,18563,288796.383,15.557635,0.001,10000.0,EinheitenSolar_29.json,39690,EinheitenSolar_26.json,62745
Vulkaneifel,9027,288758.709,31.988336,0.001,15856.8,EinheitenSolar_41.json,58327,EinheitenSolar_23.json,93892
Darmstadt-Dieburg,26984,286845.626,10.630211,0.001,5666.535,EinheitenSolar_40.json,85374,EinheitenSolar_4.json,23051
Fürstenfeldbruck,21396,285548.981,13.345905,0.001,5280.275,EinheitenSolar_33.json,45137,EinheitenSolar_9.json,92308
Greiz,8869,282102.446,31.807695,0.001,19921.92,EinheitenSolar_41.json,19250,EinheitenSolar_4.json,70927
Osterholz,12147,276649.568,22.775135,0.001,9622.08,EinheitenSolar_45.json,69534,EinheitenSolar_16.json,74640
Nürnberger Land,19748,275772.516,13.96458,0.001,9975.15,EinheitenSolar_37.json,71085,EinheitenSolar_40.json,54382
Freudenstadt,15879,275295.728,17.337095,0.001,11174.0,EinheitenSolar_47.json,59542,EinheitenSolar_52.json,32766
Wunsiedel i. Fichtelgebirge,7211,274725.493,38.098113,0.107,29349.54,EinheitenSolar_34.json,38077,EinheitenSolar_50.json,73755
Aschaffenburg,24660,271816.331,11.02256,0.001,4850.0,EinheitenSolar_40.json,50557,EinheitenWasser.json,7165
